row_index,true_value,predicted_class,predicted_probability,Unique ID,match_id,event_index,frame_start,frame_end,rec_player_id,rec_team_short,rec_team_id,dist_to_attacking_goal,team_out_of_possession_phase_type,player_targeted_dangerous,event_row_index,source_file,is_drawing,is_middle_third
0,0,0,0.19698919095225453,1886347_42_46,1886347.0,42.0,387.0,430.0,735578.0,Newcastle,1805.0,99.57517009777088,high_block,0.0,0,1886347.0,1,0
3,0,1,0.8186070548101602,1886347_170_193,1886347.0,170.0,1492.0,1492.0,735574.0,Newcastle,1805.0,34.42740332932473,chaotic/disruption,0.0,3,1886347.0,1,0
14,1,1,0.5245807457345572,1886347_452_466,1886347.0,452.0,3799.0,3799.0,50978.0,Newcastle,1805.0,51.18859638630464,chaotic/disruption,1.0,14,1886347.0,1,1
19,1,1,0.5530576721626144,1886347_452_466,1886347.0,466.0,3854.0,3866.0,38673.0,Auckland FC,4177.0,47.05479784251549,chaotic/disruption,1.0,19,1886347.0,1,1
20,1,1,0.5553305138788309,1886347_536_558,1886347.0,536.0,4452.0,4452.0,795507.0,Newcastle,1805.0,72.21389132293038,medium_block,1.0,20,1886347.0,1,1
28,0,1,0.5044716493177464,1886347_882_893,1886347.0,882.0,7480.0,7480.0,735573.0,Newcastle,1805.0,53.90093320156897,chaotic/disruption,0.0,28,1886347.0,1,1
38,0,1,0.8745145795807872,1886347_882_896,1886347.0,896.0,8011.0,8011.0,51649.0,Newcastle,1805.0,18.5818083081276,chaotic/disruption,0.0,38,1886347.0,1,0
39,0,1,0.866691266022275,1886347_1044_1058,1886347.0,1044.0,9289.0,9301.0,23418.0,Auckland FC,4177.0,30.82961238809207,low_block,0.0,39,1886347.0,1,0
45,0,0,0.32364688105394945,1886347_1104_1125,1886347.0,1104.0,9686.0,9696.0,50978.0,Newcastle,1805.0,75.3069883875328,high_block,0.0,45,1886347.0,1,0
51,0,0,0.33845563775896237,1886347_1138_1147,1886347.0,1138.0,10163.0,10170.0,795507.0,Newcastle,1805.0,72.86156737265537,high_block,0.0,51,1886347.0,1,0
56,0,0,0.22550696720214855,1886347_1223_1251,1886347.0,1223.0,10754.0,10754.0,14736.0,Auckland FC,4177.0,92.86571218700688,high_block,0.0,56,1886347.0,1,0
68,0,1,0.653908708306708,1886347_1301_1326,1886347.0,1301.0,11857.0,11887.0,51667.0,Auckland FC,4177.0,56.956145410306696,medium_block,0.0,68,1886347.0,1,1
