phase_index,player_possession_phase_index,event_type,event_subtype,start_type,end_type,pass_outcome,team_shortname,first_player_possession_in_team_possession,last_player_possession_in_team_possession,index,player_id,player_name,frame_start,frame_end,attacking_side,dangerous,player_targeted_dangerous,n_passing_options_dangerous_not_difficult,team_id,source_file,possession_id,game_state,team_out_of_possession_phase_type,n_teammates_ahead_start,n_opponents_ahead_start,max_player_targeted_xthreat,player_targeted_dangerous,n_passing_options_dangerous_not_difficult,team_id,Unique ID,possession_start,possession_end
6,1.0,player_possession,,recovery,pass,successful,Newcastle,True,False,42,51009,R. Scott,387,430,left_to_right,,0.0,0.0,1805,1886347,42_46,drawing,high_block,9.0,10.0,0.0024,0.0,0.0,1805,1886347_42_46,387,504
6,2.0,player_possession,,pass_reception,pass,successful,Newcastle,False,False,43,735578,M. Natta,451,460,left_to_right,,0.0,0.0,1805,1886347,42_46,drawing,high_block,9.0,10.0,0.0024,0.0,0.0,1805,1886347_42_46,387,504
7,1.0,player_possession,,pass_reception,pass,unsuccessful,Newcastle,False,True,46,51649,A. Šušnjar,469,504,left_to_right,,0.0,0.0,1805,1886347,42_46,drawing,high_block,9.0,10.0,0.0024,0.0,0.0,1805,1886347_42_46,387,504
20,1.0,player_possession,,recovery,pass,successful,Newcastle,True,False,170,966120,B. Gibson,1492,1492,left_to_right,,0.0,0.0,1805,1886347,170_193,drawing,chaotic,0.0,0.0,0.0091,0.0,0.0,1805,1886347_170_193,1492,1606
20,2.0,player_possession,,pass_reception,pass,successful,Newcastle,False,False,174,735574,K. Grozos,1519,1529,left_to_right,,0.0,0.0,1805,1886347,170_193,drawing,chaotic,0.0,0.0,0.0091,0.0,0.0,1805,1886347_170_193,1492,1606
20,,on_ball_engagement,pressure,,,,Auckland FC,,,177,133501,L. Rogerson,1525,1529,right_to_left,,0.0,0.0,4177,1886347,170_193,drawing,chaotic,0.0,0.0,0.0091,0.0,0.0,4177,1886347_170_193,1492,1606
20,,on_ball_engagement,pressure,,direct_regain,,Auckland FC,,,178,14736,L. Verstraete,1531,1540,right_to_left,,0.0,0.0,4177,1886347,170_193,drawing,chaotic,0.0,0.0,0.0091,0.0,0.0,4177,1886347_170_193,1492,1606
20,3.0,player_possession,,pass_reception,possession_loss,,Newcastle,False,True,180,735573,T. Aquilina,1540,1540,left_to_right,,0.0,0.0,1805,1886347,170_193,drawing,chaotic,0.0,0.0,0.0091,0.0,0.0,1805,1886347_170_193,1492,1606
21,,on_ball_engagement,other,,,,Newcastle,,,182,735573,T. Aquilina,1542,1564,left_to_right,,0.0,0.0,1805,1886347,170_193,drawing,chaotic,0.0,0.0,0.0091,0.0,0.0,1805,1886347_170_193,1492,1606
21,1.0,player_possession,,recovery,pass,successful,Auckland FC,True,False,183,14736,L. Verstraete,1546,1564,right_to_left,,0.0,0.0,4177,1886347,170_193,drawing,chaotic,0.0,0.0,0.0091,0.0,0.0,4177,1886347_170_193,1492,1606
